,Total shift,Support fail,Early fail,Stick to nozzle,Fall over
Still,RED,GREEN,YELLOW,OrangeLiberty,BluePillard-re?
Still,PINK,PURPLE,BROWN,BlackTilt,WHITE
Still,GreenNeedle,YellowPot,ORANGE,BLUE,RED
Still,PURPLE,BROWN,BLACK,WHITE,PINK
Still,YellowCat,ORANGE,BLUE,RED,GreenStick-re?
Dynamic,BrownNefertit&Vailed,BlackDuck,WHITE,PINK,PURPLE
Dynamic,ORANGE,BlueHourseback,RED,GREEN,YellowOval
Dynamic,BlackWobbly,WhiteMakara,PinkNetriti,PURPLE,BROWN
Dynamic,BLUE,RED,GREEN,YELLOW,ORANGE
Dynamic,WHITE,PinkBodhisattva,PURPLE,BrownWing,BlackHand
